	delta_T_C	oxidation_mult	precip_mult	extreme_event_mult	dam_risk_mult	fire_season_days	drought_mult	flood_mult	acid_load	growth_loss_frac	ca_depletion_frac	mycorrhizal_dead	timber_volume_lost_m3	pulp_grade_rejected	direct_timber_loss_usd	pulp_grade_loss_usd	total_lumber_loss_usd	lumber_jobs_lost	fish_tissue_hg_mg_kg	state_avg_rfd_ratio	ojibwe_mean_rfd_ratio	ojibwe_high_rfd_ratio	iq_loss_per_child	cumulative_impaired_children	fish_advisory_triggered	harvest_displacement_cost_usd	treaty_rights_violation	so2_tonnes_yr	pm25_tonnes_yr	pm10_tonnes_yr	hg_atmospheric_kg_yr	asthma_attacks_yr	copd_hospitalizations_yr	cardio_deaths_yr	air_quality_health_cost_usd	bwca_visibility_km	class_i_violation	soy_yield_loss_frac	annual_fire_prob_mult	expected_burn_acres_yr	tailings_overrun_acres	hg_re_released_kg_yr	firefighters_exposed	firefighter_cancer_excess	residents_evacuated	structures_lost	suppression_cost_usd	evacuation_cost_usd	structure_cost_usd	recreation_closure_cost	total_fire_cost_usd	hg_loading_increase	intake_upgrade_required	intake_upgrade_capex_usd	annual_dredge_cost_usd	canadian_refusal_prob	backhaul_loss_usd	fishing_advisory	fishing_jobs_lost	fishing_revenue_loss_usd	iron_revenue_at_risk_usd	ballast_surcharge_usd	port_jobs_lost	total_port_annual_cost_usd	sulfate_mg_l	methyl_hg_ng_l	mine_active	tailings_failed
20	tailings_failure	1.2972972972972974	1.1010357538683422	1.0405405405405406	1.3783783783783785	1.182	141.51351351351352	1.2432432432432432	1.2972972972972974	0.9076139394264169	0.9595742316767081	0.5654017914929218	True	13625954.089809254	False	1362050370.8173332	0.0	1362050370.8173332	2015	2.610594308673225	6.526485771683062	51.48672108772193	103.33602471831516	0.8571103234235933	2375	True	20880000	True	3400	223.78378378378378	770.8108108108108	85	32736.0	9.989708108108106	2.9136648648648644	52969203.06162162	124.19999999999999	True	0.0004896	4.909832394089878	9191.206241736252	183.82412483472504	0.1252711951061046	135	6.614999999999996	2279	1	25735377.476861507	4216150	340000	0.0	30291527.476861507	0.341321083699186	False	0	20522324.356595077	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145522324.35659507	45.380696971320845	5.119816255487792	True	True
21	tailings_failure	1.362162162162162	1.106347332630693	1.0425675675675676	1.3972972972972972	1.1911	142.1891891891892	1.2554054054054054	1.3121621621621622	1.0	1.0	0.5888877094928125	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.6231882478240154	6.557970619560038	51.735101554306965	103.83453480970061	0.8612451655255808	2533	True	20880000	True	3400	225.97297297297297	778.3513513513514	85	32736.0	10.087433513513512	2.942168108108108	53301638.8307027	124.19999999999999	True	0.0004896	5.136756756756757	9616.008648648649	192.32017297297298	0.1446616955488865	135	6.614999999999996	2384	1	26924824.216216218	4410400	340000	0.0	31675224.216216218	0.3429676731155147	False	0	20597013.652519748	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145597013.65251976	50.457219997566305	5.1445150967327224	True	True
22	tailings_failure	1.427027027027027	1.1116845353283693	1.0445945945945947	1.4162162162162162	1.2002	142.86486486486487	1.2675675675675675	1.327027027027027	1.0	1.0	0.6111044360107771	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.6358429422223	6.589607355555749	51.98468024938425	104.33544979629937	0.8653999547904256	2691	True	20880000	True	3400	228.16216216216216	785.8918918918919	85	32736.0	10.185158918918917	2.970671351351351	53634074.59978378	124.19999999999999	True	0.0004896	5.21945945945946	9770.82810810811	195.4165621621622	0.16081042021292977	135	6.614999999999996	2423	1	27358318.702702705	4482550	340000	0.0	32180868.702702705	0.3446222059517945	False	0	20672063.261973396	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145672063.26197338	55.56834562333997	5.169333089276917	True	True
23	tailings_failure	1.4918918918918918	1.117047485575478	1.0466216216216215	1.4351351351351351	1.2092999999999998	143.54054054054055	1.2797297297297296	1.3418918918918918	1.0	1.0	0.6321205588285577	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.6485586849614533	6.621396712403633	52.23546295340643	104.83878127972419	0.8695747874465445	2850	True	20880000	True	3400	230.35135135135133	793.4324324324324	85	32736.0	10.282884324324321	2.999174594594594	53966510.368864864	124.19999999999999	True	0.0004896	5.302162162162163	9925.64756756757	198.5129513513514	0.17739709138888654	135	6.614999999999996	2461	1	27791813.189189196	4552850	340000	0.0	32684663.189189196	0.3462847205283981	False	0	20747474.923168134	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145747474.92316812	60.71547736973252	5.194270807925973	True	True
24	tailings_failure	1.5567567567567568	1.1224363075824602	1.0486486486486486	1.454054054054054	1.2184	144.21621621621622	1.2918918918918918	1.3567567567567569	1.0	1.0	0.6520009592077447	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.6613357705487783	6.653339426371946	52.48745547471201	105.3445409175558	0.8737697601865749	3008	True	20880000	True	3400	232.54054054054052	800.9729729729729	85	32736.0	10.380609729729729	3.0276778378378375	54298946.13794594	124.19999999999999	True	0.0004896	5.384864864864865	10080.467027027029	201.6093405405406	0.19442170907675682	150	7.349999999999994	2499	1	28225307.675675683	4623150	340000	0.0	33188457.675675683	0.3479552553505627	False	0	20823250.382701524	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145823250.38270152	65.9003367616856	5.21932883025844	True	True
25	tailings_failure	1.6216216216216215	1.1278511261589685	1.0506756756756757	1.4729729729729728	1.2275	144.8918918918919	1.304054054054054	1.3716216216216217	1.0	1.0	0.6708070121920944	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.67417449491233	6.6854362372808245	52.740663649659844	105.85274042361307	0.8779849701696163	3166	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	5.467567567567568	10235.28648648649	204.7057297297298	0.1974077080216217	150	7.349999999999994	2538	1	28658802.16216217	4695300	340000	0.0	33694102.16216217	0.3496338491092803	False	0	20899391.395596955	0.18	25200000.0	True	420	38000000.0	0.0	13440000.0	3762	97539391.39559695	66.26526832717916	5.244507736639204	False	True
26	tailings_failure	1.6864864864864866	1.1332920667167585	1.0527027027027027	1.4918918918918918	1.2366000000000001	145.56756756756758	1.3162162162162163	1.3864864864864865	1.0	1.0	0.6885967760854024	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.68707515540777	6.717687888519424	52.99509334276434	106.36339156822423	0.8822205150234791	3325	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	5.550270270270271	10390.105945945948	207.80211891891898	0.20039370696648656	150	7.349999999999994	2576	1	29092296.648648657	4765600	340000	0.0	34197896.64864866	0.3513205406821951	False	0	20975899.725344367	0.18	25200000.0	True	420	38000000.0	0.0	13440000.0	3762	97615899.72534436	66.39018076274452	5.269808110232928	False	True
27	tailings_failure	1.7513513513513512	1.1387592552725927	1.0547297297297298	1.5108108108108107	1.2457	146.24324324324323	1.3283783783783782	1.4013513513513514	1.0	1.0	0.7054251716898927	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.700038050825252	6.75009512706313	53.25075044683136	106.87650617849957	0.8864764928469469	3483	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	5.63297297297297	10544.9254054054	210.898508108108	0.2033797059113512	150	7.349999999999994	2615	1	29525791.13513512	4837750	340000	0.0	34703541.13513512	0.3530153691345037	False	0	21052777.14394109	0.18	25200000.0	True	420	38000000.0	0.0	13440000.0	3762	97692777.14394109	66.50605346259053	5.295230537017557	False	True
28	tailings_failure	1.8162162162162163	1.144252818451159	1.0567567567567568	1.5297297297297296	1.2548	146.9189189189189	1.3405405405405406	1.4162162162162164	1.0	1.0	0.7213441518584691	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.7130634813963437	6.782658703490859	53.50764088309455	107.39209613860527	0.8907530022120476	3641	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	5.715675675675674	10699.74486486486	213.99489729729723	0.20636570485621616	150	7.349999999999994	2653	1	29959285.62162161	4908050	340000	0.0	35207335.62162161	0.35471837371985937	False	0	21130025.431932822	0.18	25200000.0	True	420	38000000.0	0.0	13440000.0	3762	97770025.43193282	66.61533677831935	5.320775605797889	False	True
29	tailings_failure	1.881081081081081	1.1497728834880039	1.0587837837837837	1.5486486486486486	1.2639	147.59459459459458	1.3527027027027025	1.4310810810810812	1.0	1.0	0.7364028618842733	True	14200000.0	False	1419432000.0	0.0	1419432000.0	2100	2.7261517488009797	6.8153793720024485	53.76577060135265	107.91017339003879	0.8950501421663377	3800	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	5.798378378378377	10854.564324324321	217.09128648648644	0.20935170380108106	150	7.349999999999994	2691	1	30392780.1081081	4978350	340000	0.0	35711130.1081081	0.35642959388128115	False	0	21207646.37845491	0.18	25200000.0	True	420	38000000.0	0.0	13440000.0	3762	97847646.37845491	66.71982591831686	5.346443908219219	False	True
