_frac	residential_loss_usd	commercial_loss_usd	total_property_loss_usd	annual_tax_base_loss	superfund_flag	silicosis_cases	fibrosis_cases	hearing_loss_cases	fatal_injuries	kids_neuro_impaired	adult_cancer_cases	worker_health_cost_usd	community_health_cost_usd	total_health_cost_usd	ltc_annual_cases	ltc_annual_cost_usd	ltc_medicaid_cost_usd	ltc_capacity_shortfall	families_displaced_ltc	water_upgrade_capex_usd	water_om_annual_usd	em_annual_usd	sped_annual_usd	ph_surveillance_usd	mental_health_usd	municipal_annual_usd	tax_revenue_loss_usd	effective_deficit_usd	fiscal_stress_ratio	fiscal_collapse_flag	medicaid_annual_usd	unfunded_cleanup_usd	perpetual_treatment_usd	tourism_tax_loss_usd	ihs_obligation_usd	state_annual_load_usd	power_demand_mw	grid_reserve_margin	grid_stress_flag	transmission_capex_usd	ratepayer_burden_usd	water_stress_ratio	water_conflict_flag	road_maint_annual_usd	ems_response_time_min	sulfate_mg_l	wells_contaminated	forced_migrants	tailings_failed
10	0.68	734672000.0	127326232.05479452	861998232.0547945	9654380.199013699	True	16	23	71	0.609	409	9	44799400.0	494670000	539469400.0	441	22988000	14252560.0	0	0	4065600	4216000	6931600.0	10020500	1054000	66495	22288595.0	9654380.199013699	31942975.1990137	0.4475621485943775	True	14958160.0	864000000.0	45000000.0	15633396.088900426	0	75591556.08890043	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	1.8611185820119556	484	403	False
11	0.68	734672000.0	128594930.4109589	863266930.4109589	9668589.62060274	True	19	26	83	0.7105	409	11	51916800.0	495530000	547446800.0	446	23290000	14439800.0	0	0	5082000	4216000	6931600.0	10020500	1054000	83160	22305260.0	9668589.62060274	31973849.62060274	0.4478967871485944	True	15321800.0	864000000.0	45000000.0	19537132.01833252	0	79858932.01833251	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	2.3258490498014903	605	504	False
12	0.68	734672000.0	129851067.39726026	864523067.3972603	9682658.354849316	True	22	30	95	0.812	409	13	59754200.0	496390000	556144200.0	452	23630000	14650600.0	0	0	6090000	4216000	6931600.0	10020500	1054000	99660	22321760.0	9682658.354849316	32004418.354849316	0.4482281124497992	True	15709000.0	864000000.0	45000000.0	23413592.476449646	0	84122592.47644964	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	2.787332437672577	725	604	False
13	0.68	734672000.0	131094643.01369862	865766643.0136986	9696586.401753424	True	25	34	107	0.9135	409	16	67591600.0	497680000	565271600.0	459	24064000	14919680.0	0	0	7089600	4216000	6931600.0	10020500	1054000	115995	22338095.0	9696586.401753424	32034681.401753426	0.448556124497992	True	16154480.0	864000000.0	45000000.0	27233683.32837964	0	88388163.32837963	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	3.242105158140433	844	703	False
14	0.68	734672000.0	132313095.89041093	866985095.8904109	9710233.073972601	True	28	38	119	1.015	409	18	75429000.0	498540000	573969000.0	465	24404000	15130480.0	0	0	8064000	4216000	6931600.0	10020500	1054000	132000	22354100.0	9710233.073972601	32064333.0739726	0.44887751004016063	True	16541680.0	864000000.0	45000000.0	30985891.918281063	0	92527571.91828106	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	3.6887966569382216	960	800	False
15	0.68	734672000.0	133506426.02739726	868178426.0273973	9723598.37150685	True	30	42	130	1.1165	409	20	82441400.0	499400000	581841400.0	471	24744000	15341280.0	0	0	9021600	4216000	6931600.0	10020500	1054000	147675	22369775.0	9723598.37150685	32093373.371506847	0.4491922690763052	True	16919080.0	864000000.0	45000000.0	34668945.53645855	0	96588025.53645855	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	4.1272554210069705	1074	895	False
16	0.68	734672000.0	134687194.79452056	869359194.7945206	9736822.98169863	True	33	46	142	1.218	409	22	90278800.0	500260000	590538800.0	477	25084000	15552080.0	0	0	9962400	4216000	6931600.0	10020500	1054000	163185	22385285.0	9736822.98169863	32122107.981698632	0.44950371485943774	True	17296480.0	864000000.0	45000000.0	38287144.19491538	0	100583624.19491538	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	4.557993356537545	1186	989	False
17	0.68	734672000.0	135842840.8219178	870514840.8219178	9749766.21720548	True	36	50	154	1.3195000000000001	409	24	98116200.0	501120000	599236200.0	483	25424000	15762880.0	0	0	10894800	4216000	6931600.0	10020500	1054000	178365	22400465.0	9749766.21720548	32150231.21720548	0.4498085341365462	True	17664080.0	864000000.0	45000000.0	41847461.03803366	0	104511541.03803366	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	4.981840599765912	1297	1081	False
18	0.68	734672000.0	137387889.31506845	872059889.3150685	9767070.760328768	True	39	53	166	1.421	409	26	105233600.0	501980000	607213600.0	488	25726000	15950120.0	0	0	11810400	4216000	6931600.0	10020500	1054000	198660	22420760.0	9767070.760328768	32187830.76032877	0.4502160642570281	True	18066920.0	864000000.0	45000000.0	45357797.758071594	672359.0272710025	109097076.7853426	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	5.3997378283418564	1406	1204	False
19	0.68	734672000.0	138945499.1780822	873617499.1780822	9784515.99079452	True	42	57	178	1.5225	409	28	113071000.0	502840000	615911000.0	494	26066000	16160920.0	0	0	12709200	4216000	6931600.0	10020500	1054000	219120	22441220.0	9784515.99079452	32225735.99079452	0.4506269076305221	True	18503120.0	864000000.0	45000000.0	48825983.90290841	1366822.0148442779	113695925.9177527	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	5.8126171312986195	1513	1328	False
20	0.68	734672000.0	140477986.30136985	875149986.3013699	9801679.846575342	True	44	61	190	1.624	409	30	120228400.0	503700000	623928400.0	500	26406000	16371720.0	0	0	13608000	4216000	6931600.0	10020500	1054000	239250	22461350.0	9801679.846575342	32263029.846575342	0.451031124497992	True	18929520.0	864000000.0	45000000.0	52259246.44065026	2054291.965854018	118243058.40650427	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	6.221338861982175	1620	1450	False
21	0.68	734672000.0	142010473.42465752	876682473.4246576	9818843.702356165	True	47	65	202	1.7255	409	32	128065800.0	504560000	632625800.0	506	26746000	16582520.0	0	0	14490000	4216000	6931600.0	10020500	1054000	259380	22481480.0	9818843.702356165	32300323.702356167	0.4514353413654619	True	19346120.0	864000000.0	45000000.0	55663969.241947494	2736047.174399486	122746136.41634698	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	6.626663004993749	1725	1572	False
22	0.68	734672000.0	143530399.17808217	878202399.1780822	9835866.870794522	True	50	69	214	1.827	409	34	135903200.0	505420000	641323200.0	512	27086000	16793320.0	0	0	15372000	4216000	6931600.0	10020500	1054000	279345	22501445.0	9835866.870794522	32337311.87079452	0.4518362449799197	True	19772520.0	864000000.0	45000000.0	59045625.06860956	3413183.4958811053	127231328.56449068	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	7.0292410795963765	1830	1693	False
23	0.68	734672000.0	145037763.5616438	879709763.5616438	9852749.351890411	True	53	73	226	1.9285	409	36	143740600.0	506280000	650020600.0	518	27426000	17004120.0	0	0	16245600	4216000	6931600.0	10020500	1054000	299145	22521245.0	9852749.351890411	32373994.35189041	0.45223383534136546	True	20198920.0	864000000.0	45000000.0	62408804.79705934	4086620.198649264	131694344.9957086	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	7.429619618697541	1934	1813	False
24	0.68	734672000.0	161267053.4246575	895939053.4246575	10034517.398356164	True	56	77	238	2.03	409	58	151578000.0	515740000	667318000.0	544	29646000	18380520.0	0	0	25678800	4216000	6931600.0	10020500	1054000	512325	22734425.0	10034517.398356164	32768942.398356162	0.45651455823293174	True	23848920.0	864000000.0	45000000.0	98635944.87431376	11340673.72364235	178825538.59795612	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	11.742374389799256	3057	3105	True
25	0.68	734672000.0	161292176.16438356	895964176.1643835	10034798.773041096	True	56	77	238	2.03	409	58	151578000.0	515740000	667318000.0	544	29646000	18380520.0	0	0	25695600	4216000	3199200.0	10020500	1054000	512655	19002355.0	10034798.773041096	29037153.773041096	0.3815733935742972	True	23858720.0	864000000.0	45000000.0	98705980.07805672	11354697.439439455	178919397.51749617	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.750711914054373	3059	3107	True
26	0.68	734672000.0	161166562.46575344	895838562.4657534	10033391.899616439	True	56	77	238	2.03	409	58	151578000.0	515740000	667318000.0	544	29646000	18380520.0	0	0	25620000	4216000	3199200.0	10020500	1054000	511005	19000705.0	10033391.899616439	29034096.89961644	0.3815402610441767	True	23839120.0	864000000.0	45000000.0	98417263.26077482	11296885.333883721	178553268.59465855	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.716340864377955	3050	3097	True
27	0.68	734672000.0	161028387.39726028	895700387.3972603	10031844.338849315	True	56	77	238	2.03	409	57	151578000.0	515310000	666888000.0	543	29552000	18322240.0	0	0	25544400	4216000	3199200.0	10020500	1054000	509190	18998890.0	10031844.338849315	29030734.338849314	0.38150381526104415	True	23761240.0	864000000.0	45000000.0	98115707.33658403	11236502.35001599	178113449.68660003	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.680441349593336	3041	3086	True
28	0.68	734672000.0	160890212.3287671	895562212.3287671	10030296.77808219	True	56	77	238	2.03	409	57	151578000.0	515310000	666888000.0	543	29552000	18322240.0	0	0	25460400	4216000	3199200.0	10020500	1054000	507375	18997075.0	10030296.77808219	29027371.778082192	0.38146736947791166	True	23741640.0	864000000.0	45000000.0	97805103.89221592	11174307.707941331	177721051.60015723	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.643464749073324	3031	3075	True
29	0.68	734672000.0	160752037.26027396	895424037.2602739	10028749.217315068	True	56	77	238	2.03	409	57	151578000.0	515310000	666888000.0	543	29552000	18322240.0	0	0	25384800	4216000	3199200.0	10020500	1054000	505560	18995260.0	10028749.217315068	29024009.21731507	0.3814309236947791	True	23722040.0	864000000.0	45000000.0	97488216.2838395	11110854.73683548	177321111.02067497	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.605740033790417	3022	3064	True
30	0.68	734672000.0	160613862.1917808	895285862.1917808	10027201.656547945	True	56	77	238	2.03	409	57	151578000.0	515310000	666888000.0	543	29552000	18322240.0	0	0	25300800	4216000	3199200.0	10020500	1054000	503745	18993445.0	10027201.656547945	29020646.656547945	0.3813944779116466	True	23702440.0	864000000.0	45000000.0	97167058.19135357	11046546.652125796	176916044.84347937	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.567506927542091	3012	3053	True
31	0.68	734672000.0	160463125.75342464	895135125.7534246	10025513.408438357	True	56	77	238	2.03	409	57	151578000.0	515310000	666888000.0	543	29552000	18322240.0	0	0	25216800	4216000	3199200.0	10020500	1054000	501765	18991465.0	10025513.408438357	29016978.408438355	0.381354718875502	True	23682840.0	864000000.0	45000000.0	96843096.7115179	10981677.22247299	176507613.9339909	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.528940084704512	3002	3041	True
32	0.68	734672000.0	160312389.31506845	894984389.3150685	10023825.160328766	True	56	77	238	2.03	409	56	151578000.0	514880000	666458000.0	542	29458000	18263960.0	0	0	25132800	4216000	3199200.0	10020500	1054000	499785	18989485.0	10023825.160328766	29013310.16032877	0.3813149598393574	True	23604960.0	864000000.0	45000000.0	96517400.4325661	10916460.419949546	176038820.85251564	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.490166718162632	2992	3029	True
33	0.68	734672000.0	160174214.24657533	894846214.2465754	10022277.599561645	True	56	77	238	2.03	409	56	151578000.0	514880000	666458000.0	542	29458000	18263960.0	0	0	25040400	4216000	3199200.0	10020500	1054000	497970	18987670.0	10022277.599561645	29009947.599561647	0.3812785140562249	True	23585360.0	864000000.0	45000000.0	96190747.39497237	10851052.037898041	175627159.43287042	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.451279451782426	2981	3018	True
34	0.68	734672000.0	160023477.80821916	894695477.8082192	10020589.351452054	True	56	77	238	2.03	409	56	151578000.0	514880000	666458000.0	542	29458000	18263960.0	0	0	24956400	4216000	3199200.0	10020500	1054000	495990	18985690.0	10020589.351452054	29006279.351452053	0.3812387550200803	True	23565760.0	864000000.0	45000000.0	95863703.80532762	10785565.452447744	175215029.25777537	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.412345691110431	2971	3006	True
35	0.68	734672000.0	159872741.369863	894544741.369863	10018901.103342466	True	56	77	238	2.03	409	56	151578000.0	514880000	666458000.0	542	29458000	18263960.0	0	0	24872400	4216000	3199200.0	10020500	1054000	494010	18983710.0	10018901.103342466	29002611.103342466	0.38119899598393575	True	23536360.0	864000000.0	45000000.0	95536681.4263905	10720083.114189144	174793124.54057965	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.373414455522678	2961	2994	True
36	0.68	734672000.0	159734566.30136985	894406566.3013699	10017353.542575343	True	56	77	238	2.03	409	56	151578000.0	514880000	666458000.0	542	29458000	18263960.0	0	0	24788400	4216000	3199200.0	10020500	1054000	492195	18981895.0	10017353.542575343	28999248.542575344	0.3811625502008032	True	23516760.0	864000000.0	45000000.0	95209979.41999802	10654664.926718652	174381404.34671667	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.334521359523574	2951	2983	True
37	0.68	734672000.0	159583829.86301368	894255829.8630137	10015665.294465754	True	56	77	238	2.03	409	56	151578000.0	514880000	666458000.0	542	29458000	18263960.0	0	0	24704400	4216000	3199200.0	10020500	1054000	490215	18979915.0	10015665.294465754	28995580.294465754	0.38112279116465864	True	23497160.0	864000000.0	45000000.0	94883814.85460056	10589354.355409304	173970329.21000984	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.295692244595305	2941	2971	True
38	0.68	734672000.0	159433093.42465752	894105093.4246576	10013977.046356164	True	56	77	238	2.03	409	55	151578000.0	514450000	666028000.0	541	29364000	18205680.0	0	0	24620400	4216000	3199200.0	10020500	1054000	488235	18977935.0	10013977.046356164	28991912.046356164	0.3810830321285141	True	23419280.0	864000000.0	45000000.0	94558344.94820629	10524182.881295592	173501807.8295019	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.256945827167415	2931	2959	True
39	0.68	734672000.0	159294918.35616437	893966918.3561643	10012429.48558904	True	56	77	238	2.03	409	55	151578000.0	514450000	666028000.0	541	29364000	18205680.0	0	0	24536400	4216000	3199200.0	10020500	1054000	486420	18976120.0	10012429.48558904	28988549.485589042	0.3810465863453815	True	23399680.0	864000000.0	45000000.0	94233683.28563653	10459173.24838579	173092536.53402233	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.218295629242444	2921	2948	True
40	0.68	734672000.0	159144181.9178082	893816181.9178082	10010741.237479452	True	56	77	238	2.03	409	55	151578000.0	514450000	666028000.0	541	29364000	18205680.0	0	0	24452400	4216000	3199200.0	10020500	1054000	484440	18974140.0	10010741.237479452	28984881.237479452	0.38100682730923696	True	23380080.0	864000000.0	45000000.0	93909911.6424682	10394341.831265656	172684333.47373387	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.17975138600812	2911	2936	True
41	0.68	734672000.0	159006006.84931505	893678006.849315	10009193.676712329	True	56	77	238	2.03	409	55	151578000.0	514450000	666028000.0	541	29364000	18205680.0	0	0	24368400	4216000	3199200.0	10020500	1054000	482625	18972325.0	10009193.676712329	28981518.676712327	0.3809703815261044	True	23360480.0	864000000.0	45000000.0	93587088.60582428	10329700.361309098	172277268.9671334	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.141320072121937	2901	2925	True
42	0.68	734672000.0	158855270.4109589	893527270.4109589	10007505.42860274	True	56	77	238	2.03	409	55	151578000.0	514450000	666028000.0	541	29364000	18205680.0	0	0	24284400	4216000	3199200.0	10020500	1054000	480645	18970345.0	10007505.42860274	28977850.42860274	0.38093062248995985	True	23340880.0	864000000.0	45000000.0	93265255.8597554	10265257.185251018	171871393.04500642	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.10300664997088	2891	2913	True
43	0.68	734672000.0	158717095.34246573	893389095.3424658	10005957.867835617	True	56	77	238	2.03	409	54	151578000.0	514020000	665598000.0	540	29270000	18147400.0	0	0	24200400	4216000	3199200.0	10020500	1054000	478830	18968530.0	10005957.867835617	28974487.86783562	0.3808941767068273	True	23263000.0	864000000.0	45000000.0	92944442.7678814	10201018.182806725	171408460.95068812	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.064814615223975	2881	2902	True
44	0.68	734672000.0	158578920.2739726	893250920.2739726	10004410.307068493	True	56	77	238	2.03	409	54	151578000.0	514020000	665598000.0	540	29270000	18147400.0	0	0	24116400	4216000	3199200.0	10020500	1054000	477015	18966715.0	10004410.307068493	28971125.307068493	0.3808577309236948	True	23243400.0	864000000.0	45000000.0	92624669.71457016	10136987.435703218	171005057.15027338	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	11.026746394591687	2871	2891	True
45	0.68	734672000.0	158428183.8356164	893100183.8356164	10002722.058958903	True	56	77	238	2.03	409	54	151578000.0	514020000	665598000.0	540	29270000	18147400.0	0	0	24032400	4216000	3199200.0	10020500	1054000	475035	18964735.0	10002722.058958903	28967457.058958903	0.3808179718875502	True	23223800.0	864000000.0	45000000.0	92305950.54096925	10073167.715465508	170602918.25643477	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.988803635829672	2861	2879	True
46	0.68	734672000.0	158290008.76712328	892962008.7671232	10001174.49819178	True	56	77	238	2.03	409	54	151578000.0	514020000	665598000.0	540	29270000	18147400.0	0	0	23948400	4216000	3199200.0	10020500	1054000	473220	18962920.0	10001174.49819178	28964094.49819178	0.3807815261044177	True	23204200.0	864000000.0	45000000.0	91988294.32109763	10009560.83905788	170202055.1601555	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.950987419178288	2851	2868	True
47	0.68	734672000.0	158151833.69863012	892823833.6986301	9999626.937424658	True	56	77	238	2.03	409	54	151578000.0	514020000	665598000.0	540	29270000	18147400.0	0	0	23864400	4216000	3199200.0	10020500	1054000	471405	18961105.0	9999626.937424658	28960731.93742466	0.3807450803212851	True	23184600.0	864000000.0	45000000.0	91671706.65677713	9946167.928178469	169802474.5849556	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.913298411521087	2841	2857	True
48	0.68	734672000.0	158001097.26027396	892673097.2602739	9997938.689315068	True	56	77	238	2.03	409	53	151578000.0	513590000	665168000.0	539	29176000	18089120.0	0	0	23788800	4216000	3199200.0	10020500	1054000	469425	18959125.0	9997938.689315068	28957063.689315066	0.38070532128514056	True	23106720.0	864000000.0	45000000.0	91356190.62175094	9882989.598307747	169345900.2200587	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.875736978779873	2832	2845	True
49	0.68	734672000.0	157862922.1917808	892534922.1917808	9996391.128547944	True	56	77	238	2.03	409	53	151578000.0	513590000	665168000.0	539	29176000	18089120.0	0	0	23704800	4216000	3199200.0	10020500	1054000	467610	18957310.0	9996391.128547944	28953701.128547944	0.380668875502008	True	23087120.0	864000000.0	45000000.0	91041747.45002595	9820026.096540911	168948893.54656684	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.838303267860232	2822	2834	True
50	0.68	734672000.0	157724747.12328765	892396747.1232877	9994843.567780823	True	56	77	238	2.03	409	53	151578000.0	513590000	665168000.0	539	29176000	18089120.0	0	0	23620800	4216000	3199200.0	10020500	1054000	465795	18955495.0	9994843.567780823	28950338.567780823	0.3806324297188755	True	23067520.0	864000000.0	45000000.0	90728377.03772913	9757277.402078617	168553174.43980777	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.800997266396324	2812	2823	True
51	0.68	734672000.0	157586572.0547945	892258572.0547945	9993296.007013699	True	56	77	238	2.03	409	53	151578000.0	513590000	665168000.0	539	29176000	18089120.0	0	0	23536800	4216000	3199200.0	10020500	1054000	463980	18953680.0	9993296.007013699	28946976.0070137	0.38059598393574295	True	23047920.0	864000000.0	45000000.0	90416078.30899772	9694743.299492162	168158741.60848987	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.763818846309253	2802	2812	True
52	0.68	734672000.0	157448396.98630136	892120396.9863014	9991748.446246576	True	56	77	238	2.03	409	53	151578000.0	513590000	665168000.0	539	29176000	18089120.0	0	0	23461200	4216000	3199200.0	10020500	1054000	462165	18951865.0	9991748.446246576	28943613.446246576	0.38055953815261045	True	23028320.0	864000000.0	45000000.0	90104849.48273668	9632423.432138463	167765592.91487515	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.726767795563891	2793	2801	True
53	0.68	734672000.0	157310221.91780823	891982221.9178083	9990200.885479452	True	56	77	238	2.03	409	53	151578000.0	513590000	665168000.0	539	29176000	18089120.0	0	0	23377200	4216000	3199200.0	10020500	1054000	460350	18950050.0	9990200.885479452	28940250.88547945	0.3805230923694779	True	23008720.0	864000000.0	45000000.0	89794688.26709916	9570317.341102475	167373725.60820162	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.689843841321329	2783	2790	True
54	0.68	734672000.0	157172046.84931505	891844046.849315	9988653.324712329	True	56	77	238	2.03	409	52	151578000.0	513160000	664738000.0	538	29082000	18030840.0	0	0	23301600	4216000	3199200.0	10020500	1054000	458535	18948235.0	9988653.324712329	28936888.32471233	0.3804866465863454	True	22930840.0	864000000.0	45000000.0	89485592.00126967	9508424.493587567	166924856.49485722	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.653046666817817	2774	2779	True
55	0.68	734672000.0	157033871.7808219	891705871.7808219	9987105.763945205	True	56	77	238	2.03	409	52	151578000.0	513160000	664738000.0	538	29082000	18030840.0	0	0	23217600	4216000	3199200.0	10020500	1054000	456720	18946420.0	9987105.763945205	28933525.763945207	0.38045020080321285	True	22911240.0	864000000.0	45000000.0	89177557.7588261	9446744.303612562	166535542.06243867	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.616375923669775	2764	2768	True
56	0.68	734672000.0	156895696.71232876	891567696.7123288	9985558.203178082	True	56	77	238	2.03	409	52	151578000.0	513160000	664738000.0	538	29082000	18030840.0	0	0	23133600	4216000	3199200.0	10020500	1054000	454905	18944605.0	9985558.203178082	28930163.20317808	0.38041375502008035	True	22891640.0	864000000.0	45000000.0	88870582.42308897	9385276.147099482	166147498.57018846	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	10.579831240843925	2754	2757	True
