	scenario	delta_T_C	oxidation_mult	precip_mult	extreme_event_mult	dam_risk_mult	fire_season_days	drought_mult	flood_mult	acid_load	growth_loss_frac	ca_depletion_frac	mycorrhizal_dead	timber_volume_lost_m3	pulp_grade_rejected	direct_timber_loss_usd	pulp_grade_loss_usd	total_lumber_loss_usd	lumber_jobs_lost	fish_tissue_hg_mg_kg	state_avg_rfd_ratio	ojibwe_mean_rfd_ratio	ojibwe_high_rfd_ratio	iq_loss_per_child	cumulative_impaired_children	fish_advisory_triggered	harvest_displacement_cost_usd	treaty_rights_violation	so2_tonnes_yr	pm25_tonnes_yr	pm10_tonnes_yr	hg_atmospheric_kg_yr	asthma_attacks_yr	copd_hospitalizations_yr	cardio_deaths_yr	air_quality_health_cost_usd	bwca_visibility_km	class_i_violation	soy_yield_loss_frac	annual_fire_prob_mult	expected_burn_acres_yr	tailings_overrun_acres	hg_re_released_kg_yr	firefighters_exposed	firefighter_cancer_excess	residents_evacuated	structures_lost	suppression_cost_usd	evacuation_cost_usd	structure_cost_usd	recreation_closure_cost	total_fire_cost_usd	hg_loading_increase	intake_upgrade_required	intake_upgrade_capex_usd	annual_dredge_cost_usd	canadian_refusal_prob	backhaul_loss_usd	fishing_advisory	fishing_jobs_lost	fishing_revenue_loss_usd	iron_revenue_at_risk_usd	ballast_surcharge_usd	port_jobs_lost	total_port_annual_cost_usd	sulfate_mg_l	methyl_hg_ng_l	mine_active	tailings_failed
20	protected	1.2972972972972974	1.1010357538683422	1.0405405405405406	1.3783783783783785	1.182	141.51351351351352	1.2432432432432432	1.2972972972972974	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.4864864864864866	2782.702702702703	0	0	30	1.469999999999999	690	0	7791567.567567568	1276500	0	0.0	9068067.567567568	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
21	protected	1.362162162162162	1.106347332630693	1.0425675675675676	1.3972972972972972	1.1911	142.1891891891892	1.2554054054054054	1.3121621621621622	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.510810810810811	2828.237837837838	0	0	30	1.469999999999999	701	0	7919065.9459459465	1296850	0	0.0	9215915.945945946	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
22	protected	1.427027027027027	1.1116845353283693	1.0445945945945947	1.4162162162162162	1.2002	142.86486486486487	1.2675675675675675	1.327027027027027	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.5351351351351354	2873.7729729729735	0	0	30	1.469999999999999	712	0	8046564.324324326	1317200	0	0.0	9363764.324324325	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
23	protected	1.4918918918918918	1.117047485575478	1.0466216216216215	1.4351351351351351	1.2092999999999998	143.54054054054055	1.2797297297297296	1.3418918918918918	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.5594594594594597	2919.308108108109	0	0	30	1.469999999999999	723	0	8174062.702702706	1337550	0	0.0	9511612.702702705	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
24	protected	1.5567567567567568	1.1224363075824602	1.0486486486486486	1.454054054054054	1.2184	144.21621621621622	1.2918918918918918	1.3567567567567569	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.583783783783784	2964.8432432432437	0	0	30	1.469999999999999	735	0	8301561.081081082	1359750	0	0.0	9661311.081081081	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
25	protected	1.6216216216216215	1.1278511261589685	1.0506756756756757	1.4729729729729728	1.2275	144.8918918918919	1.304054054054054	1.3716216216216217	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.6081081081081083	3010.378378378379	0	0	45	2.2049999999999983	746	0	8429059.459459461	1380100	0	0.0	9809159.459459461	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
26	protected	1.6864864864864866	1.1332920667167585	1.0527027027027027	1.4918918918918918	1.2366000000000001	145.56756756756758	1.3162162162162163	1.3864864864864865	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.6324324324324329	3055.9135135135143	0	0	45	2.2049999999999983	757	0	8556557.83783784	1400450	0	0.0	9957007.83783784	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
27	protected	1.7513513513513512	1.1387592552725927	1.0547297297297298	1.5108108108108107	1.2457	146.24324324324323	1.3283783783783782	1.4013513513513514	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.656756756756756	3101.4486486486476	0	0	45	2.2049999999999983	769	0	8684056.216216214	1422650	0	0.0	10106706.216216214	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
28	protected	1.8162162162162163	1.144252818451159	1.0567567567567568	1.5297297297297296	1.2548	146.9189189189189	1.3405405405405406	1.4162162162162164	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.6810810810810806	3146.9837837837827	0	0	45	2.2049999999999983	780	0	8811554.594594592	1443000	0	0.0	10254554.594594592	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
29	protected	1.881081081081081	1.1497728834880039	1.0587837837837837	1.5486486486486486	1.2639	147.59459459459458	1.3527027027027025	1.4310810810810812	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.705405405405405	3192.518918918918	0	0	45	2.2049999999999983	791	0	8939052.97297297	1463350	0	0.0	10402402.97297297	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
30	protected	1.945945945945946	1.1553195782324797	1.0608108108108107	1.5675675675675675	1.273	148.27027027027026	1.364864864864865	1.445945945945946	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.7297297297297294	3238.0540540540537	0	0	45	2.2049999999999983	803	0	9066551.35135135	1485550	0	0.0	10552101.35135135	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
31	protected	2.0108108108108107	1.1608930311507046	1.0628378378378378	1.5864864864864865	1.2820999999999998	148.94594594594594	1.377027027027027	1.4608108108108109	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.7540540540540537	3283.5891891891883	0	0	45	2.2049999999999983	814	0	9194049.729729727	1505900	0	0.0	10699949.729729727	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
32	protected	2.075675675675676	1.1664933713285388	1.0648648648648649	1.6054054054054054	1.2912	149.6216216216216	1.3891891891891892	1.4756756756756757	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.778378378378378	3329.124324324324	0	0	45	2.2049999999999983	825	0	9321548.108108107	1526250	0	0.0	10847798.108108107	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
33	protected	2.1405405405405404	1.1721207284745743	1.066891891891892	1.6243243243243244	1.3002999999999998	150.2972972972973	1.4013513513513514	1.4905405405405405	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.8027027027027023	3374.6594594594585	0	0	45	2.2049999999999983	836	0	9449046.486486483	1546600	0	0.0	10995646.486486483	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
34	protected	2.2054054054054055	1.1777752329231381	1.068918918918919	1.6432432432432433	1.3094000000000003	150.97297297297297	1.4135135135135135	1.5054054054054054	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.8270270270270268	3420.194594594594	0	0	45	2.2049999999999983	848	0	9576544.864864863	1568800	0	0.0	11145344.864864863	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
35	protected	2.27027027027027	1.1834570156373125	1.070945945945946	1.6621621621621623	1.3185000000000002	151.64864864864865	1.4256756756756757	1.5202702702702702	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.8513513513513513	3465.72972972973	0	0	45	2.2049999999999983	859	0	9704043.243243244	1589150	0	0.0	11293193.243243244	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
36	protected	2.3351351351351353	1.1891662082119667	1.072972972972973	1.6810810810810812	1.3276	152.32432432432432	1.4378378378378378	1.5351351351351352	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.8756756756756756	3511.2648648648646	0	0	45	2.2049999999999983	870	0	9831541.621621622	1609500	0	0.0	11441041.621621622	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
37	protected	2.4	1.1949029428768057	1.075	1.7	1.3367000000000002	153.0	1.45	1.55	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.9	3556.8	0	0	45	2.2049999999999983	882	0	9959040.0	1631700	0	0.0	11590740.0	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
38	protected	2.4648648648648646	1.2006673524994322	1.077027027027027	1.7189189189189187	1.3458	153.67567567567568	1.462162162162162	1.5648648648648649	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.9243243243243244	3602.3351351351353	0	0	45	2.2049999999999983	893	0	10086538.378378378	1652050	0	0.0	11738588.378378378	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
39	protected	2.529729729729729	1.2064595705884247	1.079054054054054	1.7378378378378376	1.3548999999999998	154.35135135135135	1.4743243243243243	1.5797297297297297	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.9486486486486485	3647.87027027027	0	0	45	2.2049999999999983	904	0	10214036.756756756	1672400	0	0.0	11886436.756756756	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
40	protected	2.5945945945945947	1.2122797312964289	1.0810810810810811	1.7567567567567568	1.364	155.02702702702703	1.4864864864864864	1.5945945945945947	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.9729729729729732	3693.4054054054063	0	0	45	2.2049999999999983	915	0	10341535.135135138	1692750	0	0.0	12034285.135135138	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
41	protected	2.6594594594594594	1.2181279694232645	1.0831081081081082	1.7756756756756755	1.3731	155.7027027027027	1.4986486486486486	1.6094594594594596	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.9972972972972975	3738.9405405405414	0	0	45	2.2049999999999983	927	0	10469033.513513517	1714950	0	0.0	12183983.513513517	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
42	protected	2.724324324324324	1.224004420419049	1.085135135135135	1.7945945945945945	1.3821999999999997	156.3783783783784	1.5108108108108107	1.6243243243243244	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	2.021621621621622	3784.475675675676	0	0	45	2.2049999999999983	938	0	10596531.891891893	1735300	0	0.0	12331831.891891893	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
43	protected	2.7891891891891887	1.2299092203873325	1.087162162162162	1.8135135135135134	1.3913000000000002	157.05405405405406	1.5229729729729728	1.6391891891891892	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	2.045945945945946	3830.010810810811	0	0	45	2.2049999999999983	949	0	10724030.270270271	1755650	0	0.0	12479680.270270271	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
44	protected	2.854054054054054	1.2358425060882525	1.0891891891891892	1.8324324324324324	1.4004	157.72972972972974	1.535135135135135	1.654054054054054	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	2.070270270270271	3875.545945945947	0	0	45	2.2049999999999983	961	0	10851528.648648651	1777850	0	0.0	12629378.648648651	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
45	protected	2.918918918918919	1.2418044149416987	1.0912162162162162	1.8513513513513513	1.4095000000000002	158.40540540540542	1.5472972972972974	1.6689189189189189	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	2.0945945945945947	3921.0810810810817	0	0	45	2.2049999999999983	972	0	10979027.02702703	1798200	0	0.0	12777227.02702703	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
