	scenario	delta_T_C	oxidation_mult	precip_mult	extreme_event_mult	dam_risk_mult	fire_season_days	drought_mult	flood_mult	acid_load	growth_loss_frac	ca_depletion_frac	mycorrhizal_dead	timber_volume_lost_m3	pulp_grade_rejected	direct_timber_loss_usd	pulp_grade_loss_usd	total_lumber_loss_usd	lumber_jobs_lost	fish_tissue_hg_mg_kg	state_avg_rfd_ratio	ojibwe_mean_rfd_ratio	ojibwe_high_rfd_ratio	iq_loss_per_child	cumulative_impaired_children	fish_advisory_triggered	harvest_displacement_cost_usd	treaty_rights_violation	so2_tonnes_yr	pm25_tonnes_yr	pm10_tonnes_yr	hg_atmospheric_kg_yr	asthma_attacks_yr	copd_hospitalizations_yr	cardio_deaths_yr	air_quality_health_cost_usd	bwca_visibility_km	class_i_violation	soy_yield_loss_frac	annual_fire_prob_mult	expected_burn_acres_yr	tailings_overrun_acres	hg_re_released_kg_yr	firefighters_exposed	firefighter_cancer_excess	residents_evacuated	structures_lost	suppression_cost_usd	evacuation_cost_usd	structure_cost_usd	recreation_closure_cost	total_fire_cost_usd	hg_loading_increase	intake_upgrade_required	intake_upgrade_capex_usd	annual_dredge_cost_usd	canadian_refusal_prob	backhaul_loss_usd	fishing_advisory	fishing_jobs_lost	fishing_revenue_loss_usd	iron_revenue_at_risk_usd	ballast_surcharge_usd	port_jobs_lost	total_port_annual_cost_usd	sulfate_mg_l	methyl_hg_ng_l	mine_active	tailings_failed
76	proceed	4.8	1.4277930428956507	1.15	2.4	1.6916000000000002	178.0	1.9	2.1	0.2819828565957608	0.6737341287395637	0.9806380299677095	False	9567024.628101805	False	956319781.8250566	0.0	956319781.8250566	1414	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.327493345129867	13717.067542083114	274.3413508416623	0.05291214599289529	195	9.554999999999993	3401	1	38407789.11783272	6291850	340000	0.0	45039639.11783272	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	14.099142829788038	6.639237649464776	False	True
77	proceed	4.8	1.4277930428956507	1.15	2.4	1.7006999999999999	178.0	1.9	2.1	0.2810121764835469	0.677582520976582	0.9816843611112658	False	9621671.797867464	False	961782312.9148318	0.0	961782312.9148318	1422	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.353354540962631	13765.479700682044	275.3095940136409	0.053098890805207334	195	9.554999999999993	3413	1	38543343.16190972	6314050	340000	0.0	45197393.16190972	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	14.050608824177347	6.639237649464776	False	True
78	proceed	4.8	1.4277930428956507	1.15	2.4	1.7098	178.0	1.9	2.1	0.28004483777504907	0.681355262877363	0.9826741479641249	False	9675244.732858555	False	967137463.4965413	0.0	967137463.4965413	1430	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.378707366535878	13812.940190155165	276.2588038031033	0.05328196465391383	195	9.554999999999993	3425	1	38676232.53243446	6336250	340000	0.0	45352482.53243446	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	14.002241888752454	6.639237649464776	False	True
79	proceed	4.8	1.4277930428956507	1.15	2.4	1.7189	178.0	1.9	2.1	0.27908082896930814	0.685054113654566	0.9836104462097864	False	9727768.413894838	False	972387730.6529281	0.0	972387730.6529281	1438	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.403563643758682	13859.471141116253	277.18942282232507	0.05346145290553086	195	9.554999999999993	3437	1	38806519.19512551	6358450	340000	0.0	45504969.19512551	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.954041448465407	6.639237649464776	False	True
80	proceed	4.8	1.4277930428956507	1.15	2.4	1.7279999999999998	178.0	1.9	2.1	0.27812013860460866	0.6886807847328333	0.9844961464009907	False	9779267.143206233	False	977535543.6348951	0.0	977535543.6348951	1446	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.427934873404639	13905.094083013484	278.10188166026967	0.053637438607641426	195	9.554999999999993	3448	1	38934263.432437755	6378800	340000	0.0	45653063.432437755	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.906006930230433	6.639237649464776	False	True
81	proceed	4.8	1.4277930428956507	1.15	2.4	1.7371000000000003	178.0	1.9	2.1	0.27716275525843725	0.6922369412059952	0.9853339828834728	False	9829764.565125132	False	982583265.9299083	0.0	982583265.9299083	1453	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.451832244904287	13949.829962460826	278.99659924921656	0.05381000255960685	195	9.554999999999993	3459	1	39059523.894890316	6399150	340000	0.0	45798673.894890316	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.858137762921864	6.639237649464776	False	True
82	proceed	4.8	1.4277930428956507	1.15	2.4	1.7462	178.0	1.9	2.1	0.2762086675474167	0.6957242032452786	0.9861265422374725	False	9879283.686082955	False	987533197.2608522	0.0	987533197.2608522	1461	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.475266645808271	13993.699160953085	279.8739832190617	0.05397922338090064	195	9.554999999999993	3470	1	39182357.650668636	6419500	340000	0.0	45941857.650668636	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.810433377370835	6.639237649464776	False	True
83	proceed	4.8	1.4277930428956507	1.15	2.4	1.7553000000000003	178.0	1.9	2.1	0.27525786412722036	0.6991441474603146	0.986876271263059	False	9927846.893936468	False	992387575.5178894	0.0	992387575.5178894	1468	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.498248670933314	14036.721511987163	280.7344302397433	0.05414517757715206	210	10.289999999999992	3481	1	39302820.23356406	6439850	340000	0.0	46082670.23356406	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.762893206361019	6.639237649464776	False	True
84	proceed	4.8	1.4277930428956507	1.15	2.4	1.7644000000000002	178.0	1.9	2.1	0.2743103336924751	0.7024983082146732	0.9875854845339269	False	9975475.976648359	False	997148578.62577	0.0	997148578.62577	1475	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.520788631202603	14078.916317611274	281.5783263522255	0.05430793960398287	210	10.289999999999992	3491	1	39420965.68931157	6458350	340000	0.0	46219315.68931157	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.715516684623756	6.639237649464776	False	True
85	proceed	4.8	1.4277930428956507	1.15	2.4	1.7734999999999999	178.0	1.9	2.1	0.2733660649766529	0.7057881788975752	0.9882563715429786	False	10022192.140345568	False	1001818326.348943	0.0	1001818326.348943	1482	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.542896562191704	14120.30236442287	282.40604728845744	0.05446758192871779	210	10.289999999999992	3501	1	39536846.62038404	6476850	340000	0.0	46353696.62038404	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.668303248832643	6.639237649464776	False	True
86	proceed	4.8	1.4277930428956507	1.15	2.4	1.7826000000000002	178.0	1.9	2.1	0.2724250467519568	0.7090152131533747	0.9888910034617577	False	10068016.026777921	False	1006398882.0367211	0.0	1006398882.0367211	1488	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.564582232390677	14160.897939035347	283.21795878070697	0.054624175090045524	210	10.289999999999992	3511	1	39650514.22929897	6495350	340000	0.0	46485864.22929897	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.62125233759784	6.639237649464776	False	True
87	proceed	4.8	1.4277930428956507	1.15	2.4	1.7917	178.0	1.9	2.1	0.27148726782920213	0.7121808260703388	0.9894913395345972	False	10112967.730198812	False	1010892254.3106732	0.0	1010892254.3106732	1495	3.385347277462089	8.463368193655223	66.76657130550231	134.00332973287436	1.1114772181363533	6333	True	20880000	True	0	45.0	155.0	12.75	0.0	2.0088	0.5859	6833401.92	165.0	False	0.0	7.585855151192677	14200.720843032692	284.01441686065385	0.054777787755704854	210	10.289999999999992	3521	1	39762018.36049154	6513850	340000	0.0	46615868.36049154	0.4426158432976517	False	0	25117054.65198148	0	0.0	True	420	38000000.0	0.0	13440000.0	3762	76557054.65198147	13.574363391460105	6.639237649464776	False	True
